44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: Array_Operations obj = new Array_Operations();
Execute Anonymous: obj.MaximumNum();
Execute Anonymous: obj.Assending(); 
Execute Anonymous: obj.Descending();
Execute Anonymous: obj.MinimumNum();
03:34:40.1 (1320903)|USER_INFO|[EXTERNAL]|0056F00000ATCAZ|ayman.shaikh@gmail.com|Pacific Standard Time|GMT-07:00
03:34:40.1 (1343632)|EXECUTION_STARTED
03:34:40.1 (1347739)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
03:34:40.1 (11840647)|VARIABLE_SCOPE_BEGIN|[1]|obj|Array_Operations|true|false
03:34:40.1 (12031398)|HEAP_ALLOCATE|[72]|Bytes:3
03:34:40.1 (12096670)|HEAP_ALLOCATE|[77]|Bytes:152
03:34:40.1 (12120561)|HEAP_ALLOCATE|[342]|Bytes:408
03:34:40.1 (12136823)|HEAP_ALLOCATE|[355]|Bytes:408
03:34:40.1 (12152569)|HEAP_ALLOCATE|[467]|Bytes:48
03:34:40.1 (12193534)|HEAP_ALLOCATE|[139]|Bytes:6
03:34:40.1 (12233209)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
03:34:40.1 (12284123)|STATEMENT_EXECUTE|[1]
03:34:40.1 (12287448)|STATEMENT_EXECUTE|[1]
03:34:40.1 (12292935)|HEAP_ALLOCATE|[1]|Bytes:10
03:34:40.1 (12302522)|HEAP_ALLOCATE|[1]|Bytes:22
03:34:40.1 (12344251)|METHOD_ENTRY|[1]|01p6F00000MPtB2|Array_Operations.Array_Operations()
03:34:40.1 (12356684)|STATEMENT_EXECUTE|[1]
03:34:40.1 (12361819)|STATEMENT_EXECUTE|[1]
03:34:40.1 (12403725)|HEAP_ALLOCATE|[50]|Bytes:5
03:34:40.1 (12441649)|HEAP_ALLOCATE|[56]|Bytes:5
03:34:40.1 (12464433)|HEAP_ALLOCATE|[64]|Bytes:7
03:34:40.1 (12499926)|SYSTEM_MODE_ENTER|false
03:34:40.1 (12525661)|HEAP_ALLOCATE|[1]|Bytes:5
03:34:40.1 (12538720)|SYSTEM_MODE_EXIT|false
03:34:40.1 (12552616)|METHOD_EXIT|[1]|Array_Operations
03:34:40.1 (12613118)|HEAP_ALLOCATE|[1]|Bytes:8
03:34:40.1 (12650677)|SYSTEM_MODE_ENTER|false
03:34:40.1 (12687282)|HEAP_ALLOCATE|[1]|Bytes:5
03:34:40.1 (12705893)|CONSTRUCTOR_ENTRY|[1]|01p6F00000MPtB2|<init>()|Array_Operations
03:34:40.1 (12741860)|VARIABLE_SCOPE_BEGIN|[1]|this|Array_Operations|true|false
03:34:40.1 (12807112)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x5efbefb9
03:34:40.1 (12822499)|HEAP_ALLOCATE|[2]|Bytes:5
03:34:40.1 (12834581)|HEAP_ALLOCATE|[2]|Bytes:6
03:34:40.1 (12892722)|STATEMENT_EXECUTE|[1]
03:34:40.1 (12899849)|HEAP_ALLOCATE|[2]|Bytes:5
03:34:40.1 (12912246)|STATEMENT_EXECUTE|[2]
03:34:40.1 (12930195)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13007718)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13019859)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13029023)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13035065)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13039649)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13044260)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13052567)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13057770)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13063561)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13068353)|HEAP_ALLOCATE|[2]|Bytes:4
03:34:40.1 (13106825)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:44
03:34:40.1 (13137530)|VARIABLE_ASSIGNMENT|[2]|this.integerList|"List of size 10 too large to display"|0x5efbefb9
03:34:40.1 (13153704)|CONSTRUCTOR_EXIT|[1]|01p6F00000MPtB2|<init>()|Array_Operations
03:34:40.1 (13162369)|SYSTEM_MODE_EXIT|false
03:34:40.1 (13204297)|VARIABLE_ASSIGNMENT|[1]|obj|{"integerList":"0x5b3e7c61"}|0x5efbefb9
03:34:40.1 (13213904)|STATEMENT_EXECUTE|[2]
03:34:40.1 (13246122)|SYSTEM_MODE_ENTER|false
03:34:40.1 (13272627)|HEAP_ALLOCATE|[2]|Bytes:5
03:34:40.1 (13307301)|METHOD_ENTRY|[2]|01p6F00000MPtB2|Array_Operations.MaximumNum()
03:34:40.1 (13334546)|VARIABLE_SCOPE_BEGIN|[27]|this|Array_Operations|true|false
03:34:40.1 (13367816)|VARIABLE_ASSIGNMENT|[27]|this|{"integerList":"0x5b3e7c61"}|0x5efbefb9
03:34:40.1 (13385107)|HEAP_ALLOCATE|[29]|Bytes:5
03:34:40.1 (13391016)|STATEMENT_EXECUTE|[27]
03:34:40.1 (13392946)|STATEMENT_EXECUTE|[29]
03:34:40.1 (13407663)|HEAP_ALLOCATE|[29]|Bytes:8
03:34:40.1 (13426521)|VARIABLE_SCOPE_BEGIN|[29]|int_max|Integer|false|false
03:34:40.1 (13440740)|VARIABLE_ASSIGNMENT|[29]|int_max|43
03:34:40.1 (13446700)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13449883)|VARIABLE_SCOPE_BEGIN|[30]|i|Integer|false|false
03:34:40.1 (13459395)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13467391)|VARIABLE_ASSIGNMENT|[30]|i|0
03:34:40.1 (13515223)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13528476)|HEAP_ALLOCATE|[31]|Bytes:8
03:34:40.1 (13538913)|STATEMENT_EXECUTE|[31]
03:34:40.1 (13541373)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13549448)|VARIABLE_ASSIGNMENT|[30]|i|1
03:34:40.1 (13563679)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13567290)|HEAP_ALLOCATE|[31]|Bytes:8
03:34:40.1 (13572771)|STATEMENT_EXECUTE|[31]
03:34:40.1 (13574753)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13588324)|VARIABLE_ASSIGNMENT|[30]|i|2
03:34:40.1 (13601962)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13605811)|HEAP_ALLOCATE|[31]|Bytes:8
03:34:40.1 (13611461)|STATEMENT_EXECUTE|[32]
03:34:40.1 (13613169)|STATEMENT_EXECUTE|[33]
03:34:40.1 (13617686)|HEAP_ALLOCATE|[33]|Bytes:8
03:34:40.1 (13625905)|VARIABLE_ASSIGNMENT|[33]|int_max|95
03:34:40.1 (13634725)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13643550)|VARIABLE_ASSIGNMENT|[30]|i|3
03:34:40.1 (13657430)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13661198)|HEAP_ALLOCATE|[31]|Bytes:8
03:34:40.1 (13666754)|STATEMENT_EXECUTE|[32]
03:34:40.1 (13668460)|STATEMENT_EXECUTE|[33]
03:34:40.1 (13675482)|HEAP_ALLOCATE|[33]|Bytes:8
03:34:40.1 (13683906)|VARIABLE_ASSIGNMENT|[33]|int_max|443
03:34:40.1 (13690389)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13699373)|VARIABLE_ASSIGNMENT|[30]|i|4
03:34:40.1 (13712888)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13716643)|HEAP_ALLOCATE|[31]|Bytes:8
03:34:40.1 (13724994)|STATEMENT_EXECUTE|[31]
03:34:40.1 (13726933)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13733078)|VARIABLE_ASSIGNMENT|[30]|i|5
03:34:40.1 (13746927)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13752930)|HEAP_ALLOCATE|[31]|Bytes:8
03:34:40.1 (13760399)|STATEMENT_EXECUTE|[31]
03:34:40.1 (13762296)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13771314)|VARIABLE_ASSIGNMENT|[30]|i|6
03:34:40.1 (13783531)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13787115)|HEAP_ALLOCATE|[31]|Bytes:8
03:34:40.1 (13796332)|STATEMENT_EXECUTE|[31]
03:34:40.1 (13799787)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13807421)|VARIABLE_ASSIGNMENT|[30]|i|7
03:34:40.1 (13821938)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13825640)|HEAP_ALLOCATE|[31]|Bytes:8
03:34:40.1 (13831282)|STATEMENT_EXECUTE|[31]
03:34:40.1 (13833147)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13839055)|VARIABLE_ASSIGNMENT|[30]|i|8
03:34:40.1 (13858781)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13863847)|HEAP_ALLOCATE|[31]|Bytes:8
03:34:40.1 (13874219)|STATEMENT_EXECUTE|[31]
03:34:40.1 (13876208)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13883151)|VARIABLE_ASSIGNMENT|[30]|i|9
03:34:40.1 (13894747)|STATEMENT_EXECUTE|[30]
03:34:40.1 (13898064)|HEAP_ALLOCATE|[31]|Bytes:8
03:34:40.1 (13905278)|STATEMENT_EXECUTE|[31]
03:34:40.1 (13908758)|HEAP_ALLOCATE|[30]|Bytes:4
03:34:40.1 (13918979)|VARIABLE_ASSIGNMENT|[30]|i|10
03:34:40.1 (13932871)|STATEMENT_EXECUTE|[36]
03:34:40.1 (13937909)|HEAP_ALLOCATE|[36]|Bytes:32
03:34:40.1 (13987304)|USER_DEBUG|[36]|DEBUG|Maximum number among whole Array
03:34:40.1 (14003411)|STATEMENT_EXECUTE|[37]
03:34:40.1 (14022511)|USER_DEBUG|[37]|DEBUG|443
03:34:40.1 (14040698)|METHOD_EXIT|[2]|01p6F00000MPtB2|Array_Operations.MaximumNum()
03:34:40.1 (14047408)|SYSTEM_MODE_EXIT|false
03:34:40.1 (14054615)|STATEMENT_EXECUTE|[3]
03:34:40.1 (14086427)|SYSTEM_MODE_ENTER|false
03:34:40.1 (14105035)|HEAP_ALLOCATE|[3]|Bytes:5
03:34:40.1 (14118618)|METHOD_ENTRY|[3]|01p6F00000MPtB2|Array_Operations.Assending()
03:34:40.1 (14146794)|VARIABLE_SCOPE_BEGIN|[21]|this|Array_Operations|true|false
03:34:40.1 (14177508)|VARIABLE_ASSIGNMENT|[21]|this|{"integerList":"0x5b3e7c61"}|0x5efbefb9
03:34:40.1 (14195859)|HEAP_ALLOCATE|[22]|Bytes:5
03:34:40.1 (14204251)|STATEMENT_EXECUTE|[21]
03:34:40.1 (14206352)|STATEMENT_EXECUTE|[22]
03:34:40.1 (14209643)|HEAP_ALLOCATE|[22]|Bytes:27
03:34:40.1 (14232154)|USER_DEBUG|[22]|DEBUG|Sorting in Asscending order
03:34:40.1 (14243985)|STATEMENT_EXECUTE|[23]
03:34:40.1 (14281417)|STATEMENT_EXECUTE|[24]
03:34:40.1 (14323079)|USER_DEBUG|[24]|DEBUG|(0, 1, 2, 2, 37, 43, 43, 65, 95, 443)
03:34:40.1 (14340801)|METHOD_EXIT|[3]|01p6F00000MPtB2|Array_Operations.Assending()
03:34:40.1 (14347559)|SYSTEM_MODE_EXIT|false
03:34:40.1 (14363502)|STATEMENT_EXECUTE|[4]
03:34:40.1 (14390962)|SYSTEM_MODE_ENTER|false
03:34:40.1 (14409004)|HEAP_ALLOCATE|[4]|Bytes:5
03:34:40.1 (14425442)|METHOD_ENTRY|[4]|01p6F00000MPtB2|Array_Operations.Descending()
03:34:40.1 (14452747)|VARIABLE_SCOPE_BEGIN|[4]|this|Array_Operations|true|false
03:34:40.1 (14481880)|VARIABLE_ASSIGNMENT|[4]|this|{"integerList":"0x5b3e7c61"}|0x5efbefb9
03:34:40.1 (14501786)|HEAP_ALLOCATE|[5]|Bytes:5
03:34:40.1 (14507645)|STATEMENT_EXECUTE|[4]
03:34:40.1 (14509506)|STATEMENT_EXECUTE|[5]
03:34:40.1 (14513140)|HEAP_ALLOCATE|[5]|Bytes:27
03:34:40.1 (14538077)|USER_DEBUG|[5]|DEBUG|Sorting in Descending order
03:34:40.1 (14549801)|STATEMENT_EXECUTE|[7]
03:34:40.1 (14554369)|VARIABLE_SCOPE_BEGIN|[7]|i|Integer|false|false
03:34:40.1 (14565769)|HEAP_ALLOCATE|[7]|Bytes:4
03:34:40.1 (14574150)|VARIABLE_ASSIGNMENT|[7]|i|0
03:34:40.1 (14606838)|STATEMENT_EXECUTE|[7]
03:34:40.1 (14613877)|STATEMENT_EXECUTE|[8]
03:34:40.1 (14617922)|VARIABLE_SCOPE_BEGIN|[8]|j|Integer|false|false
03:34:40.1 (14626440)|HEAP_ALLOCATE|[8]|Bytes:4
03:34:40.1 (14635261)|VARIABLE_ASSIGNMENT|[8]|j|1
03:34:40.1 (14670121)|STATEMENT_EXECUTE|[8]
03:34:40.1 (14672651)|STATEMENT_EXECUTE|[9]
03:34:40.1 (14675636)|VARIABLE_SCOPE_BEGIN|[9]|x|Integer|false|false
03:34:40.1 (14683968)|HEAP_ALLOCATE|[9]|Bytes:4
03:34:40.1 (14702424)|VARIABLE_ASSIGNMENT|[9]|x|0
03:34:40.1 (14725492)|HEAP_ALLOCATE|[10]|Bytes:8
03:34:40.1 (14736611)|HEAP_ALLOCATE|[10]|Bytes:8
03:34:40.1 (14741972)|STATEMENT_EXECUTE|[10]
03:34:40.1 (14743731)|STATEMENT_EXECUTE|[11]
03:34:40.1 (14747737)|HEAP_ALLOCATE|[11]|Bytes:8
03:34:40.1 (14757050)|VARIABLE_ASSIGNMENT|[11]|x|0
03:34:40.1 (14763871)|STATEMENT_EXECUTE|[12]
03:34:40.1 (14775114)|HEAP_ALLOCATE|[12]|Bytes:8
03:34:40.1 (14795559)|STATEMENT_EXECUTE|[13]
03:34:40.1 (14805428)|HEAP_ALLOCATE|[8]|Bytes:4
03:34:40.1 (14814716)|VARIABLE_ASSIGNMENT|[8]|j|2
03:34:40.1 (14831879)|STATEMENT_EXECUTE|[8]
03:34:40.1 (14833760)|STATEMENT_EXECUTE|[9]
03:34:40.1 (14836858)|VARIABLE_SCOPE_BEGIN|[9]|x|Integer|false|false
03:34:40.1 (14855017)|HEAP_ALLOCATE|[9]|Bytes:4
03:34:40.1 (14866804)|VARIABLE_ASSIGNMENT|[9]|x|0
03:34:40.1 (14875507)|HEAP_ALLOCATE|[10]|Bytes:8
03:34:40.1 (14882981)|HEAP_ALLOCATE|[10]|Bytes:8
03:34:40.1 (14891012)|STATEMENT_EXECUTE|[10]
03:34:40.1 (14892786)|STATEMENT_EXECUTE|[11]
03:34:40.1 (14895902)|HEAP_ALLOCATE|[11]|Bytes:8
03:34:40.1 (14903703)|VARIABLE_ASSIGNMENT|[11]|x|1
03:34:40.1 (14911651)|STATEMENT_EXECUTE|[12]
03:34:40.1 (14917467)|HEAP_ALLOCATE|[12]|Bytes:8
03:34:40.1 (14926733)|STATEMENT_EXECUTE|[13]
03:34:40.1 (14930744)|HEAP_ALLOCATE|[8]|Bytes:4
03:34:40.1 (14940783)|VARIABLE_ASSIGNMENT|[8]|j|3
03:34:40.1 (14956060)|STATEMENT_EXECUTE|[8]
03:34:40.1 (14958027)|STATEMENT_EXECUTE|[9]
03:34:40.1 (14962286)|VARIABLE_SCOPE_BEGIN|[9]|x|Integer|false|false
03:34:40.1 (14974577)|HEAP_ALLOCATE|[9]|Bytes:4
03:34:40.1 (14985455)|VARIABLE_ASSIGNMENT|[9]|x|0
03:34:40.1 (14993260)|HEAP_ALLOCATE|[10]|Bytes:8
03:34:40.1 (15000123)|HEAP_ALLOCATE|[10]|Bytes:8
03:34:40.1 (15005376)|STATEMENT_EXECUTE|[10]
03:34:40.1 (15007459)|HEAP_ALLOCATE|[8]|Bytes:4
03:34:40.1 (15018233)|VARIABLE_ASSIGNMENT|[8]|j|4
